candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
161007 2-C12_S132_L001_R1_001_4167162	459		4348122	93.50	459
1616059 2-G12_S180_L001_R1_001_3851118	441		4319168	95.00	441
161902 2-E1_S145_L001_R1_001_841569	440		195496	94.80	440
162430 2-E4_S148_L001_R1_001_717267	465		715138	94.40	465
1624481 2-C3_S123_L001_R1_001_2306412	440		297872	96.60	440
162623 1-F3_S63_L001_R1_001_3238553	441		297872	96.40	441
162660 2-E1_S145_L001_R1_001_829830	443		290018	95.50	443
163243 2-B7_S115_L001_R1_001_978455	443		290018	95.00	443
16340 1-F10_S70_L001_R1_001_4425253	440		294709	95.20	440
163857 2-D10_S142_L001_R1_001_1227386	444		347357	91.90	444
164088 1-F6_S66_L001_R1_001_115333	460		183870	96.10	460
165118 1-D3_S39_L001_R1_001_54452	459		300853	89.30	459
165257 2-G3_S171_L001_R1_001_1971898	443		174924	91.40	443
165489 1-F5_S65_L001_R1_001_89807	464		289174	95.00	464
1656781 1-F6_S66_L001_R1_001_113348	461		4434579	98.90	461
165928 1-G11_S83_L001_R1_001_368395	443		668513	89.60	443
1663575 2-B4_S112_L001_R1_001_1682730	465		289174	95.10	465
166689 2-B12_S120_L001_R1_001_148124	440		851865	92.00	440
167270 1-G10_S82_L001_R1_001_2387589	465		715138	94.60	465
167502 2-G3_S171_L001_R1_001_1988387	440		174924	92.50	440
1677528 2-A7_S103_L001_R1_001_332417	438		216888	95.00	438
168071 1-E12_S60_L001_R1_001_2176341	439		261016	94.10	439
168289 2-C11_S131_L001_R1_001_3635925	444		303937	91.90	444
168383 1-H11_S95_L001_R1_001_1480666	439		289569	97.70	439
169364 1-F3_S63_L001_R1_001_3243897	440		216888	95.70	440
169847 2-F4_S160_L001_R1_001_2810733	440		297872	97.00	440
1701964 1-G4_S76_L001_R1_001_1534878	461		4434579	98.70	461
170387 2-F11_S167_L001_R1_001_10711	440		193666	96.60	440
171559 2-F10_S166_L001_R1_001_1430076	460		4348122	93.30	460
171772 2-H2_S182_L001_R1_001_97220	459		529442	90.40	459
1719314 2-B4_S112_L001_R1_001_1695940	439		851865	98.20	439
172233 1-D1_S37_L001_R1_001_662797	440		279306	89.80	440
172777 1-F1_S61_L001_R1_001_1447337	459		4373802	92.80	459
172878 1-C9_S33_L001_R1_001_2616011	443		301630	94.10	443
17311 2-E9_S153_L001_R1_001_553271	443		4426850	92.60	443
1733364 2-B12_S120_L001_R1_001_140914	460		183870	99.60	460
173565 2-B3_S111_L001_R1_001_4751122	459		851822	91.50	459
1736067 1-E7_S55_L001_R1_001_751076	460		183870	99.30	460
173654 2-G10_S178_L001_R1_001_172273	464		289174	95.50	464
173726 1-C8_S32_L001_R1_001_2585428	464		158415	93.30	464
173744 2-G10_S178_L001_R1_001_190832	465		169933	91.60	465
173824 1-H11_S95_L001_R1_001_1499055	439		193666	96.80	439
173863 1-A4_S4_L001_R1_001_2530372	440		851865	93.90	440
173920 1-D1_S37_L001_R1_001_670593	440		193666	92.00	440
173942 2-D10_S142_L001_R1_001_1238592	440		851865	99.10	440
173996 2-F7_S163_L001_R1_001_2911861	440		297872	96.40	440
1740161 2-B10_S118_L001_R1_001_2827361	439		193666	96.60	439
174033 2-A4_S100_L001_R1_001_457961	443		350341	97.50	443
174036 1-G8_S80_L001_R1_001_216155	460		183870	95.00	460
1740498 2-C8_S128_L001_R1_001_515034	460		4348122	93.90	460
174078 1-F12_S72_L001_R1_001_1334268	440		193666	96.80	440
1742070 2-C11_S131_L001_R1_001_3648873	440		216888	95.90	440
174278 1-A11_S11_L001_R1_001_1019740	440		4429635	91.40	440
174279 2-E2_S146_L001_R1_001_816325	440		183107	96.10	440
174280 2-H1_S181_L001_R1_001_3427764	440		186510	97.30	440
174301 1-F5_S65_L001_R1_001_70044	440		261016	93.90	440
174337 1-F12_S72_L001_R1_001_1340278	446		234298	96.40	446
174353 1-C9_S33_L001_R1_001_2630117	439		289730	97.70	439
174356 1-F1_S61_L001_R1_001_1450292	439		851865	97.00	439
174403 1-F5_S65_L001_R1_001_73355	440		851865	99.10	440
174439 2-E7_S151_L001_R1_001_2431980	440		851865	95.90	440
174501 2-G11_S179_L001_R1_001_3507751	440		193666	95.90	440
174516 2-F12_S168_L001_R1_001_3714881	465		215040	88.80	465
174589 1-D1_S37_L001_R1_001_636515	440		193666	98.20	440
174638 2-A3_S99_L001_R1_001_2776043	465		215040	94.40	465
174672 2-H5_S185_L001_R1_001_1774903	440		195674	98.00	440
174675 2-G1_S169_L001_R1_001_4535697	440		195496	95.20	440
174680 2-E4_S148_L001_R1_001_719523	440		193666	96.60	440
174730 1-B9_S21_L001_R1_001_4086458	440		851865	98.40	440
174740 1-D10_S46_L001_R1_001_4068760	442		179663	91.00	442
174747 1-G1_S73_L001_R1_001_3317843	440		193666	95.50	440
174749 1-C10_S34_L001_R1_001_2328191	440		851865	94.30	440
174755 2-B9_S117_L001_R1_001_876880	441		366392	89.10	441
174763 2-D8_S140_L001_R1_001_3107852	440		193666	95.90	440
174818 1-E10_S58_L001_R1_001_2760688	440		350681	93.00	440
174831 2-H2_S182_L001_R1_001_97504	460		551008	90.70	460
174842 2-H7_S187_L001_R1_001_253964	460		194286	93.00	460
174862 1-E5_S53_L001_R1_001_1751974	440		195674	97.50	440
174978 2-E7_S151_L001_R1_001_2456248	459		183870	91.30	459
175037 1-D1_S37_L001_R1_001_660145	443		151203	91.20	443
175148 1-C11_S35_L001_R1_001_4645352	441		350681	92.30	441
175168 2-G5_S173_L001_R1_001_2373290	440		297872	94.30	440
175180 2-E4_S148_L001_R1_001_714178	440		193666	98.60	440
175298 2-G10_S178_L001_R1_001_194885	440		851865	92.70	440
175336 1-F10_S70_L001_R1_001_4416536	443		185670	99.10	443
175373 2-G5_S173_L001_R1_001_2371219	440		193666	96.60	440
175375 2-C7_S127_L001_R1_001_946187	460		529442	92.00	460
175376 2-F11_S167_L001_R1_001_2913	440		195674	96.80	440
175391 1-H5_S89_L001_R1_001_3747550	440		183107	96.10	440
175438 2-E7_S151_L001_R1_001_2426490	440		184661	97.00	440
175441 2-E11_S155_L001_R1_001_428587	440		851865	97.50	440
175474 1-C11_S35_L001_R1_001_4652245	440		289407	93.60	440
175485 1-G8_S80_L001_R1_001_226059	460		4348122	92.60	460
175508 2-A5_S101_L001_R1_001_2658164	440		589920	92.30	440
175509 1-B1_S13_L001_R1_001_1619075	440		197460	95.90	440
175520 1-G11_S83_L001_R1_001_397814	440		193666	95.00	440
175535 1-A8_S8_L001_R1_001_291412	460		183870	97.40	460
175545 1-A1_S1_L001_R1_001_2459917	440		193666	98.60	440
175560 2-B4_S112_L001_R1_001_1675419	440		851865	98.40	440
175619 1-F1_S61_L001_R1_001_1437745	440		183051	91.60	440
175703 1-H11_S95_L001_R1_001_1494461	440		193666	95.90	440
175704 1-G1_S73_L001_R1_001_3302082	440		193666	98.20	440
175761 2-B3_S111_L001_R1_001_4753635	442		179663	92.30	442
175776 1-G12_S84_L001_R1_001_2726203	440		851865	98.00	440
175789 2-C1_S121_L001_R1_001_778729	440		851865	95.90	440
175836 1-C9_S33_L001_R1_001_2629431	440		522863	91.10	440
175844 2-B12_S120_L001_R1_001_127812	460		306695	87.40	460
175846 1-A3_S3_L001_R1_001_1936875	440		294709	95.00	440
175883 2-E7_S151_L001_R1_001_2426445	440		197460	97.50	440
175929 1-H2_S86_L001_R1_001_3212690	440		216888	94.80	440
175955 2-G10_S178_L001_R1_001_168945	440		193666	96.80	440
175960 2-B10_S118_L001_R1_001_2834541	440		193666	93.90	440
175978 2-G11_S179_L001_R1_001_3527974	440		311952	92.30	440
176057 2-C11_S131_L001_R1_001_3646335	440		216888	94.50	440
176071 1-E7_S55_L001_R1_001_756821	460		183870	96.50	460
176077 2-C3_S123_L001_R1_001_2312789	442		303937	97.10	442
1760821 1-B1_S13_L001_R1_001_1623535	440		216888	96.40	440
176094 1-F5_S65_L001_R1_001_83971	441		290018	97.30	441
176108 1-A8_S8_L001_R1_001_282867	460		529442	92.00	460
176113 1-A10_S10_L001_R1_001_2986991	440		184661	94.10	440
176151 2-G12_S180_L001_R1_001_3837703	440		851865	98.90	440
176167 2-F3_S159_L001_R1_001_1145570	440		287907	94.30	440
176171 2-B9_S117_L001_R1_001_884900	440		851865	99.10	440
176178 1-A3_S3_L001_R1_001_1928626	439		851865	98.60	439
176193 1-D1_S37_L001_R1_001_654396	440		193666	98.60	440
176201 1-F3_S63_L001_R1_001_3248590	440		195674	97.50	440
176204 1-F2_S62_L001_R1_001_3019245	442		2626509	94.80	442
176230 2-B1_S109_L001_R1_001_3852896	458		183870	94.10	458
176300 2-H3_S183_L001_R1_001_4709416	440		195674	95.70	440
176306 1-E11_S59_L001_R1_001_1384284	440		297872	96.80	440
176323 1-G9_S81_L001_R1_001_1807208	440		216888	96.40	440
176331 1-H4_S88_L001_R1_001_4717883	440		297872	97.00	440
176337 2-H5_S185_L001_R1_001_1787410	440		4466135	91.60	440
176399 1-F1_S61_L001_R1_001_1454783	437		183107	97.90	437
176561 1-B1_S13_L001_R1_001_1614671	440		193666	95.70	440
176705 2-F11_S167_L001_R1_001_2256	465		514182	90.10	465
176722 2-F3_S159_L001_R1_001_1147668	440		193666	94.30	440
176785 2-B7_S115_L001_R1_001_996000	440		197460	91.80	440
176806 1-G1_S73_L001_R1_001_3322538	441		297872	96.60	441
176862 2-C12_S132_L001_R1_001_4156838	440		193666	95.70	440
176881 2-H10_S190_L001_R1_001_3039899	396		297872	96.70	396
176890 1-F10_S70_L001_R1_001_4430134	440		183107	95.20	440
176994 1-E7_S55_L001_R1_001_756755	440		350681	94.30	440
177001 1-A2_S2_L001_R1_001_1951477	442		297872	96.40	442
177055 2-C7_S127_L001_R1_001_950526	442		297872	95.00	442
177061 2-D5_S137_L001_R1_001_33511	440		522863	95.90	440
177070 2-C1_S121_L001_R1_001_772615	443		325539	94.80	443
177100 2-D4_S136_L001_R1_001_1071786	440		183107	94.10	440
177207 2-A5_S101_L001_R1_001_2661194	439		294709	94.80	439
177224 1-A9_S9_L001_R1_001_3890557	440		297872	96.60	440
177230 2-B9_S117_L001_R1_001_868276	440		183107	96.10	440
177237 2-F3_S159_L001_R1_001_1149662	441		297872	96.60	441
177310 1-F5_S65_L001_R1_001_91391	440		193666	95.90	440
177319 2-E10_S154_L001_R1_001_3460039	442		182420	91.90	442
177343 2-B7_S115_L001_R1_001_978659	460		183870	99.30	460
177368 2-F11_S167_L001_R1_001_29991	440		193666	96.60	440
177379 1-H7_S91_L001_R1_001_4442328	442		3027156	96.40	442
177484 1-E3_S51_L001_R1_001_1829007	434		514182	90.10	434
177518 2-F4_S160_L001_R1_001_2779220	440		294709	96.60	440
1775194 1-G7_S79_L001_R1_001_2047033	440		190084	96.40	440
177530 2-F1_S157_L001_R1_001_2081986	440		193666	98.40	440
177567 2-B9_S117_L001_R1_001_885281	439		193666	95.20	439
177586 2-H5_S185_L001_R1_001_1777717	440		197460	98.00	440
177617 1-H1_S85_L001_R1_001_2690700	440		193666	96.40	440
177660 2-C9_S129_L001_R1_001_4324855	440		851865	92.70	440
1776714 1-G12_S84_L001_R1_001_2734584	440		216888	96.10	440
177677 1-D5_S41_L001_R1_001_1271396	440		287907	94.30	440
177679 2-A9_S105_L001_R1_001_2404465	458		328866	87.60	458
177695 1-F11_S71_L001_R1_001_2062958	440		851865	97.70	440
177697 1-H3_S87_L001_R1_001_604660	441		157382	91.20	441
177727 2-B12_S120_L001_R1_001_149627	443		290018	95.30	443
177754 2-A1_S97_L001_R1_001_1172609	440		195674	97.70	440
177913 1-C8_S32_L001_R1_001_2578712	440		190251	97.00	440
177987 1-B6_S18_L001_R1_001_1353540	440		174974	93.40	440
178015 1-C1_S25_L001_R1_001_2266888	442		297872	94.80	442
178064 2-G6_S174_L001_R1_001_1051798	460		183870	92.80	460
178078 2-G9_S177_L001_R1_001_1324984	442		325539	94.80	442
178142 2-E4_S148_L001_R1_001_716749	440		193666	96.80	440
178146 1-H3_S87_L001_R1_001_592888	440		184661	97.30	440
178151 2-E7_S151_L001_R1_001_2422462	442		193666	92.10	442
178211 2-B4_S112_L001_R1_001_1688361	439		183107	97.90	439
178213 2-G10_S178_L001_R1_001_170320	465		518033	92.00	465
178296 2-E6_S150_L001_R1_001_2015693	460		516290	92.80	460
178385 1-C5_S29_L001_R1_001_2650135	440		851865	96.40	440
178452 1-D1_S37_L001_R1_001_639369	442		297872	94.80	442
178462 2-B7_S115_L001_R1_001_1003083	440		193666	95.70	440
178474 1-B7_S19_L001_R1_001_3406485	440		186510	97.50	440
178478 1-D1_S37_L001_R1_001_636027	460		529442	92.60	460
178480 2-G5_S173_L001_R1_001_2370507	440		174924	93.00	440
178485 1-H3_S87_L001_R1_001_600141	440		184661	95.20	440
178537 1-F10_S70_L001_R1_001_4420248	440		526963	92.30	440
178584 1-F5_S65_L001_R1_001_65113	440		193666	96.10	440
17859 2-F11_S167_L001_R1_001_11453	440		184661	97.70	440
178608 2-D3_S135_L001_R1_001_160091	442		183107	91.20	442
178629 1-A11_S11_L001_R1_001_1014614	440		195674	97.50	440
178675 1-B1_S13_L001_R1_001_1608502	440		195496	94.80	440
178708 1-F12_S72_L001_R1_001_1349823	440		512191	95.70	440
178712 1-A5_S5_L001_R1_001_630268	440		328282	91.80	440
178725 1-B1_S13_L001_R1_001_1604779	440		184661	97.30	440
178751 1-D8_S44_L001_R1_001_1515864	442		297872	96.40	442
178766 2-C8_S128_L001_R1_001_487976	443		183107	95.00	443
178773 1-F6_S66_L001_R1_001_124285	442		325539	89.60	442
178810 2-F11_S167_L001_R1_001_1244	460		183870	93.00	460
178852 2-B8_S116_L001_R1_001_542293	442		263546	96.40	442
178957 1-E9_S57_L001_R1_001_1869683	440		325539	90.90	440
178961 2-B1_S109_L001_R1_001_3884815	437		184661	97.90	437
178965 1-E12_S60_L001_R1_001_2195513	442		325539	93.70	442
178970 2-D9_S141_L001_R1_001_1771158	440		3931706	93.00	440
179157 2-F10_S166_L001_R1_001_1417118	460		194286	93.00	460
179159 2-H2_S182_L001_R1_001_101698	440		294289	92.70	440
179200 2-E1_S145_L001_R1_001_846824	440		851865	94.80	440
179201 2-B12_S120_L001_R1_001_147205	442		805185	92.30	442
179267 2-E9_S153_L001_R1_001_568209	440		184661	97.00	440
179291 2-G7_S175_L001_R1_001_4586507	439		851865	99.10	439
179319 2-F11_S167_L001_R1_001_3065	427		311952	94.10	427
179400 1-B12_S24_L001_R1_001_2139779	439		183107	95.90	439
179435 2-B8_S116_L001_R1_001_546427	440		512191	95.70	440
179487 1-H7_S91_L001_R1_001_4457462	440		186510	91.80	440
179499 2-A7_S103_L001_R1_001_330681	466		305127	88.00	466
179508 2-C8_S128_L001_R1_001_489754	437		183107	95.40	437
179551 2-B12_S120_L001_R1_001_125743	440		183107	94.10	440
179557 2-C1_S121_L001_R1_001_797397	442		341023	91.00	442
179572 2-B11_S119_L001_R1_001_4221481	440		183051	93.40	440
179576 1-D11_S47_L001_R1_001_2242308	440		193666	95.90	440
179593 1-B6_S18_L001_R1_001_1365991	440		193666	96.60	440
179615 1-B1_S13_L001_R1_001_1618378	440		193666	96.60	440
179623 1-A5_S5_L001_R1_001_626772	440		193666	95.50	440
179625 1-E12_S60_L001_R1_001_2198519	440		183107	94.50	440
179649 2-G5_S173_L001_R1_001_2349627	440		851865	97.00	440
179662 1-G10_S82_L001_R1_001_2388142	440		183051	94.30	440
179692 2-H7_S187_L001_R1_001_252416	441		851865	97.70	441
179715 1-G5_S77_L001_R1_001_1288815	440		193666	96.40	440
179729 2-C7_S127_L001_R1_001_964283	441		193666	93.00	441
179806 1-D3_S39_L001_R1_001_54525	460		179806	99.30	460
179834 2-H3_S183_L001_R1_001_4708842	440		183051	94.10	440
180045 2-D8_S140_L001_R1_001_3111912	460		529442	92.20	460
180052 2-E4_S148_L001_R1_001_739326	440		183107	95.90	440
180082 2-F11_S167_L001_R1_001_158	460		194286	95.20	460
180083 1-D4_S40_L001_R1_001_3169135	440		183107	95.20	440
180090 1-E7_S55_L001_R1_001_758503	440		851865	97.00	440
180099 1-F4_S64_L001_R1_001_3949640	441		760848	93.70	441
180123 2-F9_S165_L001_R1_001_3666429	436		851865	96.30	436
180130 1-H2_S86_L001_R1_001_3231852	442		178457	94.30	442
180136 1-H10_S94_L001_R1_001_1651944	443		301630	94.10	443
180140 2-B6_S114_L001_R1_001_301642	440		193666	94.10	440
180155 2-B11_S119_L001_R1_001_4209744	440		851865	96.10	440
180185 1-E3_S51_L001_R1_001_1828333	440		294709	94.30	440
180190 2-B6_S114_L001_R1_001_306941	440		193666	97.00	440
180193 1-B12_S24_L001_R1_001_2126347	440		193666	96.60	440
180215 2-H7_S187_L001_R1_001_253649	440		197460	98.20	440
180235 2-G9_S177_L001_R1_001_1321363	443		185670	94.40	443
180285 2-C10_S130_L001_R1_001_2885214	440		851865	97.70	440
180307 2-E7_S151_L001_R1_001_2445214	440		190084	94.80	440
180312 1-G7_S79_L001_R1_001_2048444	442		297872	95.50	442
180352 2-E7_S151_L001_R1_001_2427803	443		197393	92.10	443
180386 2-H11_S191_L001_R1_001_3268667	440		261016	94.30	440
180401 2-E9_S153_L001_R1_001_557551	440		193666	95.20	440
180421 2-C2_S122_L001_R1_001_4051438	460		183870	85.90	460
180509 2-C1_S121_L001_R1_001_782730	443		290018	93.50	443
180528 1-D3_S39_L001_R1_001_54435	441		258203	90.90	441
180529 1-G4_S76_L001_R1_001_1528062	440		297872	97.00	440
180556 1-C1_S25_L001_R1_001_2271847	440		193666	97.70	440
180572 1-E6_S54_L001_R1_001_2596583	439		851865	97.70	439
180606 1-A8_S8_L001_R1_001_275258	459		183870	92.40	459
180654 2-B3_S111_L001_R1_001_4771210	440		297872	96.80	440
180665 2-H1_S181_L001_R1_001_3440698	436		851865	96.30	436
180681 1-F5_S65_L001_R1_001_67683	440		197393	92.30	440
180713 2-G7_S175_L001_R1_001_4600527	441		185306	94.80	441
180736 1-B12_S24_L001_R1_001_2130114	441		193666	95.90	441
180738 2-E9_S153_L001_R1_001_569157	429		174924	93.00	429
180754 1-G1_S73_L001_R1_001_3340265	440		197460	97.00	440
180771 1-B7_S19_L001_R1_001_3409054	440		290018	92.30	440
180801 2-C12_S132_L001_R1_001_4156362	440		183107	94.10	440
180806 2-C12_S132_L001_R1_001_4151472	440		851865	96.60	440
180825 2-C9_S129_L001_R1_001_4336580	460		851822	92.00	460
180826 1-G5_S77_L001_R1_001_1304637	441		290018	97.30	441
180834 1-B4_S16_L001_R1_001_4696247	460		183870	95.00	460
1808742 1-B3_S15_L001_R1_001_1255534	439		851865	98.90	439
180927 1-B4_S16_L001_R1_001_4696210	465		715138	94.20	465
1809696 2-F6_S162_L001_R1_001_4626418	460		4348122	93.70	460
